2024-06-21 08:29:49 {'orderId': 1403695982, 'symbol': 'ETHUSDT', 'status': 'NEW', 'clientOrderId': 'jrFR5I08UjZ2uMkiKXlmsu', 'price': '3562.23', 'avgPrice': '0.00', 'origQty': '0.100', 'executedQty': '0.000', 'cumQty': '0.000', 'cumQuote': '0.00000', 'timeInForce': 'GTC', 'type': 'LIMIT', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'LIMIT', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'NONE', 'goodTillDate': 0, 'updateTime': 1718929789051}
2024-06-21 08:30:04 {'orderId': 1403695982, 'symbol': 'ETHUSDT', 'status': 'CANCELED', 'clientOrderId': 'jrFR5I08UjZ2uMkiKXlmsu', 'price': '3562.23', 'avgPrice': '0.00', 'origQty': '0.100', 'executedQty': '0.000', 'cumQty': '0.000', 'cumQuote': '0.00000', 'timeInForce': 'GTC', 'type': 'LIMIT', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'LIMIT', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'NONE', 'goodTillDate': 0, 'updateTime': 1718929804230}
2024-06-21 08:30:14 {'orderId': 1403696338, 'symbol': 'ETHUSDT', 'status': 'NEW', 'clientOrderId': 'w67ovVYE6VGPjhP8ofPoYf', 'price': '3563.23', 'avgPrice': '0.00', 'origQty': '0.100', 'executedQty': '0.000', 'cumQty': '0.000', 'cumQuote': '0.00000', 'timeInForce': 'GTC', 'type': 'LIMIT', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'LIMIT', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'NONE', 'goodTillDate': 0, 'updateTime': 1718929814346}
2024-06-21 08:30:29 {'orderId': 1403696338, 'symbol': 'ETHUSDT', 'status': 'CANCELED', 'clientOrderId': 'w67ovVYE6VGPjhP8ofPoYf', 'price': '3563.23', 'avgPrice': '0.00', 'origQty': '0.100', 'executedQty': '0.000', 'cumQty': '0.000', 'cumQuote': '0.00000', 'timeInForce': 'GTC', 'type': 'LIMIT', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'LIMIT', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'NONE', 'goodTillDate': 0, 'updateTime': 1718929829520}
2024-06-21 08:30:39 {'orderId': 1403696763, 'symbol': 'ETHUSDT', 'status': 'NEW', 'clientOrderId': 'nKYe7WKiMNnIm70MDwg5Dt', 'price': '3564.23', 'avgPrice': '0.00', 'origQty': '0.100', 'executedQty': '0.000', 'cumQty': '0.000', 'cumQuote': '0.00000', 'timeInForce': 'GTC', 'type': 'LIMIT', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'LIMIT', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'NONE', 'goodTillDate': 0, 'updateTime': 1718929839608}
2024-06-21 08:30:55 {'orderId': 1403696763, 'symbol': 'ETHUSDT', 'status': 'CANCELED', 'clientOrderId': 'nKYe7WKiMNnIm70MDwg5Dt', 'price': '3564.23', 'avgPrice': '0.00', 'origQty': '0.100', 'executedQty': '0.000', 'cumQty': '0.000', 'cumQuote': '0.00000', 'timeInForce': 'GTC', 'type': 'LIMIT', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'LIMIT', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'NONE', 'goodTillDate': 0, 'updateTime': 1718929854781}
2024-06-21 08:31:05 {'orderId': 1403697098, 'symbol': 'ETHUSDT', 'status': 'NEW', 'clientOrderId': 'gPKYaZ60cjCjOZ4D89HIam', 'price': '3565.23', 'avgPrice': '0.00', 'origQty': '0.100', 'executedQty': '0.000', 'cumQty': '0.000', 'cumQuote': '0.00000', 'timeInForce': 'GTC', 'type': 'LIMIT', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'LIMIT', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'NONE', 'goodTillDate': 0, 'updateTime': 1718929864877}
2024-06-21 08:31:20 {'orderId': 1403697098, 'symbol': 'ETHUSDT', 'status': 'CANCELED', 'clientOrderId': 'gPKYaZ60cjCjOZ4D89HIam', 'price': '3565.23', 'avgPrice': '0.00', 'origQty': '0.100', 'executedQty': '0.000', 'cumQty': '0.000', 'cumQuote': '0.00000', 'timeInForce': 'GTC', 'type': 'LIMIT', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'LIMIT', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'NONE', 'goodTillDate': 0, 'updateTime': 1718929880055}
2024-06-21 08:31:30 {'orderId': 1403697485, 'symbol': 'ETHUSDT', 'status': 'NEW', 'clientOrderId': 'h86a31K9gHVGrGftDWjhSy', 'price': '3570.10', 'avgPrice': '0.00', 'origQty': '0.100', 'executedQty': '0.000', 'cumQty': '0.000', 'cumQuote': '0.00000', 'timeInForce': 'GTC', 'type': 'LIMIT', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'LIMIT', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'NONE', 'goodTillDate': 0, 'updateTime': 1718929890144}
2024-06-21 08:31:45 {'orderId': 1403697485, 'symbol': 'ETHUSDT', 'status': 'CANCELED', 'clientOrderId': 'h86a31K9gHVGrGftDWjhSy', 'price': '3570.10', 'avgPrice': '3570.10000', 'origQty': '0.100', 'executedQty': '0.044', 'cumQty': '0.044', 'cumQuote': '157.08440', 'timeInForce': 'GTC', 'type': 'LIMIT', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'LIMIT', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'NONE', 'goodTillDate': 0, 'updateTime': 1718929905335}
2024-06-21 08:31:55 {'orderId': 1403697887, 'symbol': 'ETHUSDT', 'status': 'NEW', 'clientOrderId': 'AkXFLl5S8N4NplneCDPA4J', 'price': '3571.10', 'avgPrice': '0.00', 'origQty': '0.100', 'executedQty': '0.000', 'cumQty': '0.000', 'cumQuote': '0.00000', 'timeInForce': 'GTC', 'type': 'LIMIT', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'LIMIT', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'NONE', 'goodTillDate': 0, 'updateTime': 1718929915425}
